DateTime,Entries,UniqueIPs
1441514459,3502,920064
1441518061,3505,920832
1441520202,3507,921344
1441521667,3511,922368
1441523825,3513,922880
1441524432,3514,923136
1441527443,3516,923648
1441528856,3519,924672
1441531083,3520,924928
1441532463,3524,925952
1441534658,3526,926464
1441536074,3529,927232
1441538177,3530,927488
1441539669,3534,928768
1441541457,3532,928512
1441543259,3534,928768
1441545394,3538,929792
1441545990,3535,929024
1441546870,3537,929536
1441548664,3539,930048
1441550351,3545,931584
1441551192,3543,931072
1441552264,3546,931840
1441554062,3551,933120
1441554954,3549,932608
1441556179,3551,933120
1441557659,3556,934400
1441558556,3555,934144
1441559459,3556,934400
1441561274,3557,934656
1441563367,3556,934400
1441563795,3554,933888
1441564860,3557,935168
1441568306,3561,936192
1441569352,3560,935936
1441570575,3562,936448
1441571000,3560,935936
1441572092,3569,938240
1441572959,3564,936960
1441575704,3567,937728
1441577793,3566,937472
1441579102,3568,937984
1441580156,3567,937728
1441581382,3570,938496
1441582863,3573,939520
1441583624,3570,938752
1441585630,3569,938240
1441586470,3572,939008
1441587355,3570,938496
1441588597,3572,939008
1441589190,3568,937984
1441590085,3568,938496
1441592206,3570,939008
1441592789,3565,937728
1441593497,3571,939264
1441594558,3569,938752
1441595797,3571,939264
1441596377,3569,938752
1441597281,3575,940288
1441599424,3575,940288
1441600869,3579,941568
1441601757,3578,941312
1441603049,3579,941568
1441603588,3577,941056
1441604462,3578,941568
1441605360,3573,940288
1441607220,3568,939008
1441608063,3574,941056
1441608956,3571,940288
1441609871,3572,940544
1441611578,3571,940288
1441612554,3568,939520
1441613877,3569,939776
1441614387,3568,939264
1441615263,3573,940544
1441616152,3567,939008
1441617070,3568,939264
1441618856,3569,939520
1441619750,3566,938752
1441620659,3571,940032
1441622462,3571,940032
1441624257,3570,939776
1441626074,3574,940800
1441628176,3572,940288
1441628807,3570,939776
1441629654,3572,940288
1441631462,3571,940288
1441633290,3566,939008
1441634161,3565,938752
1441635407,3566,939264
1441636859,3571,940544
1441638661,3573,941056
1441639615,3576,941824
1441640467,3578,942592
1441642562,3581,943360
1441644064,3583,943872
1441645858,3580,943104
1441647492,3581,943616
1441649772,3581,943616
1441650380,3580,943360
1441651273,3582,943872
1441653375,3585,944640
1441654856,3583,944128
1441656967,3582,943872
1441658465,3583,944128
1441660267,3583,944128
1441662076,3580,943360
1441664189,3583,944128
1441664793,3578,942848
1441665659,3581,943616
1441666549,3580,943360
1441667776,3583,944128
1441668388,3584,944384
1441669266,3585,944640
1441670153,3584,944384
1441671369,3588,945408
1441672040,3584,944384
1441672865,3587,945152
1441673759,3585,944384
1441674668,3586,944640
1441676525,3589,945664
1441677357,3585,944640
1441678564,3586,944896
1441679195,3584,944384
1441680068,3587,945152
1441680957,3584,944384
1441682202,3588,945664
1441682605,3586,945152
1441683660,3592,946688
1441685821,3592,946688
1441687267,3598,948480
1441688158,3594,947456
1441689991,3593,947200
1441690864,3594,947456
1441692660,3593,947200
1441694510,3598,948736
1441696678,3600,949248
1441698966,3598,948736
1441700235,3601,949504
1441700782,3596,948224
1441701667,3600,949504
1441703878,3601,949760
1441704398,3598,948992
1441705258,3600,949504
1441706154,3598,948736
1441707474,3602,949760
1441708001,3599,948992
1441708860,3603,950016
1441710682,3601,949504
1441712459,3604,950272
1441714263,3601,949504
1441716069,3600,949248
1441718231,3605,950528
1441719497,3606,950784
1441723269,3607,951040
1441725434,3602,949760
1441726865,3601,949504
1441729014,3601,949504
1441729623,3599,948992
1441730465,3601,949504
1441731351,3598,948736
1441732277,3600,949504
1441734064,3599,949248
1441736179,3600,949504
1441737663,3601,950016
1441738564,3597,948992
1441739798,3601,950016
1441741266,3603,950528
1441742882,3605,951040
1441744870,3603,950272
1441747594,3601,949760
1441748468,3603,950272
1441750596,3601,949760
1441751188,3599,949248
1441752103,3600,949504
1441754182,3599,949248
1441754800,3598,948992
1441755663,3601,949760
1441757562,3601,949760
1441758373,3594,947968
1441760158,3590,946944
1441761398,3591,947200
1441761986,3589,946688
1441762695,3591,947200
1441763757,3584,944896
1441765001,3588,945920
1441765402,3583,944640
1441766470,3586,945408
1441768625,3585,945152
1441769187,3584,944896
1441770066,3586,945408
1441772212,3586,945408
1441772804,3584,944896
1441773664,3589,946176
1441774560,3586,945408
1441775824,3588,945920
1441776406,3585,945152
1441777267,3587,945664
1441779411,3587,945664
1441780688,3587,945664
1441781756,3584,944896
1441783037,3586,945408
1441783632,3588,945920
1441784461,3590,946432
1441786644,3585,945152
1441788085,3583,944640
1441790267,3583,944896
1441791664,3590,946944
1441793863,3590,946688
1441794371,3589,946432
1441795269,3592,947200
1441797411,3589,946432
1441798860,3591,946944
1441801079,3590,946688
1441801591,3588,945920
1441802455,3592,946944
1441804579,3590,946432
1441805040,3589,946176
1441806063,3593,947200
1441807861,3590,946432
1441809678,3587,945664
1441811823,3592,947200
1441812388,3589,946432
1441815384,3587,945920
1441816872,3589,946432
1441819008,3588,946176
1441819600,3588,945920
1441820520,3590,946432
1441824068,3588,945920
1441826253,3588,945408
1441827705,3591,946176
1441829781,3592,946432
1441830381,3588,945408
1441831260,3589,945664
1441832154,3587,945152
1441833392,3588,945408
1441834861,3584,944384
1441836689,3586,944896
1441838460,3586,944896
1441839356,3584,944384
1441840603,3585,944640
1441842066,3582,943616
1441844209,3583,943872
1441845665,3581,943360
1441846556,3579,942848
1441848375,3577,942336
1441849266,3584,944384
1441850163,3582,943872
1441851071,3584,944384
1441852865,3585,945152
1441855015,3580,943872
1441855573,3577,943104
1441856463,3580,943872
1441857177,3578,943360
1441858637,3579,943616
1441860063,3584,944896
1441860959,3580,943872
1441862207,3581,944128
1441862792,3577,943104
1441863666,3581,944128
1441865861,3583,944640
1441866399,3582,944128
1441867265,3585,944896
1441868163,3581,943872
1441869971,3576,942592
1441870885,3579,943360
1441873035,3582,944128
1441874470,3575,942336
1441875360,3571,941312
1441876596,3572,941568
1441877190,3569,940800
1441878060,3570,941056
1441878960,3567,940288
1441880237,3569,940800
1441881654,3571,941312
1441883828,3567,940288
1441884389,3560,938496
1441885273,3562,939008
1441886158,3559,938240
1441887477,3560,938496
1441888876,3564,939520
1441891002,3562,939008
1441892461,3563,939264
1441893367,3561,938752
1441894268,3564,939776
1441896071,3564,939776
1441896957,3560,938752
1441899662,3558,938240
1441900556,3556,937728
1441901768,3558,938240
1441903269,3556,937728
1441905401,3554,937216
1441905981,3549,935936
1441907762,3548,935680
1441910470,3545,934912
1441911359,3543,934400
1441912265,3545,934912
1441914064,3543,934400
1441914959,3542,934144
1441917659,3540,933632
1441919771,3540,933632
1441920377,3538,933120
1441921276,3540,933632
1441923385,3541,933888
1441924219,3539,933376
1441926976,3537,932864
1441927607,3535,932352
1441928456,3538,933120
1441930355,3534,932096
1441932068,3531,931328
1441932961,3530,931072
1441934180,3531,931328
1441934783,3529,930816
1441935661,3533,931840
1441937754,3535,932352
1441939262,3539,933376
1441941418,3538,933120
1441942863,3538,933120
1441944997,3540,933632
1441946289,3539,932864
1441947375,3534,931584
1441948610,3535,931840
1441950065,3530,930816
1441950958,3526,929792
1441952799,3524,929280
1441953660,3530,930816
1441954553,3526,929792
1441955836,3530,930816
1441956413,3528,930304
1441957266,3529,930560
1441959446,3530,930816
1441960861,3530,930816
1441962525,3526,929536
1441964468,3530,930560
1441965358,3529,930304
1441966649,3529,930560
1441967192,3524,929280
1441968060,3526,929792
1441970222,3524,929280
1441970778,3520,928256
1441971672,3523,929024
1441972559,3520,928256
1441973869,3522,928768
1441975257,3521,928512
1441977383,3515,926976
1441977977,3513,926464
1441978876,3516,927232
1441981579,3514,926720
