DateTime,Entries,UniqueIPs
1440676563,1257,1257
1440680164,1245,1245
1440683764,1269,1269
1440687363,1238,1238
1440690964,1239,1239
1440694564,1235,1235
1440698164,1257,1257
1440701765,1213,1213
1440705364,1222,1222
1440708963,1238,1238
1440712564,1231,1231
1440716164,1204,1204
1440719764,1201,1201
1440723364,1207,1207
1440726963,1125,1125
1440730563,1175,1175
1440734164,1179,1179
1440737763,1140,1140
1440741363,1167,1167
1440744964,1158,1158
1440748563,1190,1190
1440752164,1204,1204
1440755764,1215,1215
1440759363,1206,1206
1440762963,1221,1221
1440766564,1177,1177
1440770163,1168,1168
1440773763,1158,1158
1440777364,1154,1154
1440780964,1164,1164
1440784563,1183,1183
1440788163,1173,1173
1440791763,1184,1184
1440795364,1185,1185
1440798963,1211,1211
1440802563,1216,1216
1440806164,1195,1195
1440809764,1187,1187
1440813365,1182,1182
1440816965,1202,1202
1440820570,1223,1223
1440824175,1195,1195
1440827763,1218,1218
1440831363,1217,1217
1440834963,1209,1209
1440838565,1167,1167
1440842163,1200,1200
1440845763,1177,1177
1440849363,1175,1175
1440852964,1204,1204
1440856563,1202,1202
1440860191,1176,1176
1440863765,1188,1188
1440867364,1182,1182
1440870963,1176,1176
1440874564,1137,1137
1440878163,1162,1162
1440881764,1159,1159
1440885363,1159,1159
1440888965,1141,1141
1440892564,1148,1148
1440896163,1122,1122
1440899763,1152,1152
1440903363,1156,1156
1440906966,1151,1151
1440910563,1166,1166
1440914163,1154,1154
1440917764,1145,1145
1440921364,1183,1183
1440924963,1172,1172
1440928564,1158,1158
1440932163,1174,1174
1440935764,1175,1175
1440939364,1188,1188
1440942964,1134,1134
1440946564,1159,1159
1440950164,1196,1196
1440953766,1184,1184
1440957364,1203,1203
1440960963,1199,1199
1440964564,1201,1201
1440968163,1164,1164
1440971764,1155,1155
1440975364,1184,1184
1440978964,1187,1187
1440982564,1206,1206
1440989763,1231,1231
1440993363,1205,1205
1440996963,1227,1227
1441000564,1188,1188
1441004163,1171,1171
1441007791,1154,1154
1441011364,1198,1198
1441014964,1205,1205
1441018563,1184,1184
1441022163,1200,1200
1441025763,1188,1188
1441029364,1155,1155
1441032963,1154,1154
1441036564,1184,1184
1441040164,1180,1180
1441043764,1203,1203
1441047365,1197,1197
1441050964,1163,1163
1441054563,1157,1157
1441058163,1180,1180
1441061763,1148,1148
1441065363,1136,1136
1441068964,1164,1164
1441072563,1130,1130
1441076163,1142,1142
1441079763,1180,1180
1441083364,1178,1178
1441086963,1169,1169
1441090563,1186,1186
1441094164,1181,1181
1441097764,1206,1206
1441101363,1217,1217
1441104963,1212,1212
1441108563,1199,1199
1441112164,1200,1200
1441115764,1219,1219
1441119364,1208,1208
1441122963,1157,1157
1441126564,1184,1184
1441130164,1173,1173
1441133764,1158,1158
1441137363,1178,1178
1441140964,1175,1175
1441144563,1145,1145
1441148163,1137,1137
1441151763,1134,1134
1441155364,1147,1147
1441158963,1141,1141
1441162563,1149,1149
1441166164,1132,1132
1441169763,1110,1110
1441173363,1100,1100
1441176963,1119,1119
1441180564,1109,1109
1441184163,1114,1114
1441187763,1115,1115
1441191365,1091,1091
1441194963,1112,1112
1441198563,1109,1109
1441202164,1114,1114
1441205764,1123,1123
1441209363,1102,1102
1441212964,1126,1126
1441216564,1126,1126
1441220163,1135,1135
1441223763,1106,1106
1441227364,1130,1130
1441230965,1128,1128
1441234563,1144,1144
1441238164,1157,1157
1441241763,1154,1154
1441245363,1139,1139
1441248964,1114,1114
1441252563,1140,1140
1441256163,1126,1126
1441259763,1152,1152
1441263364,1135,1135
1441266964,1145,1145
1441270564,1146,1146
1441274163,1178,1178
1441277764,1221,1221
1441281363,1198,1198
1441284963,1191,1191
1441288563,1190,1190
1441292164,1192,1192
1441295763,1210,1210
1441299363,1218,1218
1441302963,1186,1186
1441306563,1203,1203
1441310163,1193,1193
1441313763,1168,1168
1441317363,1153,1153
1441320963,1153,1153
1441324564,1147,1147
1441328163,1135,1135
1441331763,1146,1146
1441335363,1143,1143
1441338964,1140,1140
1441342566,1144,1144
1441346163,1112,1112
1441349764,1134,1134
1441353363,1149,1149
1441356964,1145,1145
1441360564,1131,1131
1441364163,1113,1113
1441367764,1104,1104
1441371363,1102,1102
1441374964,1073,1073
1441378564,1094,1094
1441382164,1073,1073
1441385763,1071,1071
1441389364,1074,1074
1441392964,1074,1074
1441396563,1050,1050
1441400164,1038,1038
1441403764,1021,1021
1441407364,1052,1052
1441410963,1060,1060
1441414563,1043,1043
1441418163,1028,1028
1441421763,1058,1058
1441425364,1052,1052
1441428964,1048,1048
1441432564,1057,1057
1441436163,1039,1039
1441439763,1063,1063
1441443363,1057,1057
1441446964,1059,1059
1441450563,1059,1059
1441454164,1054,1054
1441457763,1060,1060
1441461364,1057,1057
1441464964,1067,1067
1441468563,1087,1087
1441472163,1074,1074
1441475764,1095,1095
1441479363,1081,1081
1441482964,1101,1101
1441486563,1091,1091
1441490164,1118,1118
1441493764,1091,1091
1441497363,1107,1107
1441500964,1119,1119
1441504563,1068,1068
1441508163,1092,1092
1441511763,1099,1099
1441515363,1104,1104
1441518964,1108,1108
1441522564,1122,1122
1441526164,1131,1131
1441529764,1153,1153
1441533364,1150,1150
1441536963,1143,1143
1441540564,1161,1161
1441544164,1192,1192
1441547763,1166,1166
1441551364,1177,1177
1441554963,1175,1175
1441558563,1170,1170
1441562164,1155,1155
1441565763,1171,1171
1441569363,1184,1184
1441572964,1187,1187
1441576563,1151,1151
1441580163,1176,1176
1441583763,1193,1193
1441587363,1199,1199
1441590963,1165,1165
1441594563,1189,1189
1441598163,1182,1182
1441601764,1210,1210
1441605363,1154,1154
1441608963,1179,1179
1441612566,1145,1145
1441616163,1121,1121
1441619763,1134,1134
1441623364,1148,1148
1441626964,1098,1098
1441630563,1148,1148
1441634164,1162,1162
1441637764,1163,1163
1441641364,1165,1165
1441644963,1175,1175
1441648565,1145,1145
1441652165,1130,1130
1441655763,1151,1151
1441659363,1151,1151
1441662963,1144,1144
1441666563,1122,1122
1441670164,1155,1155
1441673763,1124,1124
1441677364,1133,1133
1441680964,1125,1125
1441684563,1135,1135
1441688164,1117,1117
1441691763,1145,1145
1441695363,1135,1135
1441698963,1133,1133
1441702563,1160,1160
1441706164,1166,1166
1441709791,1133,1133
1441713363,1133,1133
1441716964,1130,1130
1441720564,1157,1157
1441724163,1116,1116
1441727763,1132,1132
1441731364,1112,1112
