DateTime,Entries,UniqueIPs
1442087150,1024,1024
1442088040,1024,1024
1442089124,1024,1024
1442090272,1024,1024
1442091284,1024,1024
1442092179,1024,1024
1442093263,1024,1024
1442094388,1024,1024
1442095235,1024,1024
1442096423,1024,1024
1442097402,1024,1024
1442098515,1024,1024
1442099372,1024,1024
1442100464,1024,1024
1442101535,1024,1024
1442102437,1024,1024
1442103528,1024,1024
1442104739,1024,1024
1442105665,1024,1024
1442106581,1024,1024
1442107667,1024,1024
1442108797,1024,1024
1442109641,1024,1024
1442110717,1024,1024
1442111786,1024,1024
1442112925,1024,1024
1442113766,1024,1024
1442114854,1024,1024
1442115929,1024,1024
1442117941,1024,1024
1442118729,1024,1024
1442119534,1023,1023
1442120435,1024,1024
1442121503,1024,1024
1442123661,1024,1024
1442125649,1024,1024
1442126256,1023,1023
1442127320,1024,1024
1442128161,1022,1022
1442129258,1021,1021
1442130331,1022,1022
1442131235,1024,1024
1442132363,1022,1022
1442133447,1020,1020
1442134462,1021,1021
1442135382,1021,1021
1442136455,1021,1021
1442137582,1023,1023
1442138428,1023,1023
1442139527,1021,1021
1442140596,1016,1016
1442141721,1023,1023
1442142560,1014,1014
1442143665,1010,1010
1442144729,1011,1011
1442145641,1021,1021
1442146741,1020,1020
1442147572,1015,1015
1442148276,1021,1021
1442149871,1023,1023
1442150634,1019,1019
1442152342,1015,1015
1442153995,1016,1016
1442155538,1014,1014
1442156585,1011,1011
1442157527,1008,1008
1442158870,1005,1005
1442159767,1022,1022
1442160719,1022,1022
1442161763,1023,1023
1442162772,1022,1022
1442163632,1016,1016
1442164774,1011,1011
1442165801,1005,1005
1442166925,1003,1003
1442168907,999,999
1442169923,996,996
1442170845,994,994
1442171912,989,989
1442172765,986,986
1442173540,985,985
1442174431,982,982
1442175062,981,981
1442176050,979,979
1442177157,978,978
1442178030,977,977
1442179179,974,974
1442180214,973,973
1442181305,970,970
1442182197,969,969
1442183332,966,966
1442184333,965,965
1442184962,963,963
1442185758,962,962
1442186843,957,957
1442188475,956,956
1442189388,952,952
1442190450,950,950
1442191596,949,949
1442192433,947,947
1442193536,946,946
1442194600,945,945
1442195736,941,941
1442197667,940,940
1442198724,937,937
1442200716,935,935
1442201869,933,933
1442202916,931,931
1442203783,930,930
1442206000,928,928
1442206822,925,925
1442207928,922,922
1442210122,920,920
1442212065,919,919
1442213137,915,915
1442214047,914,914
1442215106,922,922
1442216269,1052,1052
1442217270,1043,1043
1442218223,1040,1040
1442219244,1036,1036
1442220251,1031,1031
1442220879,1024,1024
1442221767,1024,1024
1442223416,1024,1024
1442224469,1024,1024
1442225378,1024,1024
1442226500,1024,1024
1442227533,1024,1024
1442228431,1024,1024
1442229505,1024,1024
1442230660,1024,1024
1442232580,1024,1024
1442233653,421,421
1442234802,972,972
1442235627,1450,1450
1442236721,1820,1820
1442237813,1806,1806
1442238935,1775,1775
1442239797,1755,1755
1442240859,1737,1737
1442241935,1721,1721
1442242837,1715,1715
1442243906,1703,1703
1442245056,1687,1687
1442246067,1672,1672
1442246980,1662,1662
1442248060,1652,1652
1442249284,1637,1637
1442250058,1627,1627
1442251159,1615,1615
1442252198,1606,1606
1442252990,1601,1601
1442253682,1594,1594
1442254742,1583,1583
1442255801,1575,1575
1442256866,1570,1570
1442257781,1562,1562
1442258841,1556,1556
1442259654,1550,1550
1442260476,1545,1545
1442261411,1544,1544
1442262453,1538,1538
1442263536,1529,1529
1442264160,1527,1527
1442264975,1523,1523
1442266098,1516,1516
1442267136,1510,1510
1442268074,1502,1502
1442269127,1498,1498
1442270266,1491,1491
1442271258,1489,1489
1442272189,1483,1483
1442273247,1479,1479
1442274398,1475,1475
1442275222,1471,1471
1442276330,1469,1469
1442277404,1467,1467
1442278549,1467,1467
1442279415,1463,1463
1442280474,1465,1465
1442281526,1463,1463
1442282465,1462,1462
1442283511,1461,1461
1442284668,1459,1459
1442285686,1463,1463
1442286586,1460,1460
1442287645,1459,1459
1442288801,1459,1459
1442289623,1455,1455
1442290727,1449,1449
1442291811,1452,1452
1442292934,1448,1448
1442293834,1448,1448
1442294875,1447,1447
1442295948,1448,1448
1442296858,1446,1446
1442297909,1447,1447
1442299063,1435,1435
1442300064,1430,1430
1442300987,1463,1463
1442302041,1462,1462
1442303200,1452,1452
1442304031,1450,1450
1442305163,1443,1443
1442306196,1446,1446
1442307329,1443,1443
1442308189,1439,1439
1442309269,1439,1439
1442310343,1436,1436
1442311260,1435,1435
1442312312,1431,1431
1442313465,1430,1430
1442314459,1428,1428
1442315391,1420,1420
1442316448,1420,1420
1442317603,1419,1419
1442318438,1419,1419
1442319550,1414,1414
1442320598,1411,1411
1442321733,1410,1410
1442322580,1407,1407
1442323668,1406,1406
1442324730,1404,1404
1442325657,1400,1400
1442326710,1398,1398
1442327876,1397,1397
1442328868,1390,1390
1442329791,1387,1387
1442330867,1384,1384
1442332006,1385,1385
1442332833,1385,1385
1442333934,1383,1383
1442334998,1377,1377
1442336151,1378,1378
1442336988,1382,1382
1442338075,1379,1379
1442339481,1375,1375
1442340120,1375,1375
1442341147,1378,1378
1442343304,1370,1370
1442344220,1373,1373
1442345294,1369,1369
1442346412,1368,1368
1442347427,1369,1369
1442348359,1368,1368
1442349555,1364,1364
1442350494,1363,1363
1442351401,1363,1363
1442352507,1364,1364
1442353654,1363,1363
1442354528,1363,1363
1442355662,1362,1362
1442356887,1365,1365
1442358039,1364,1364
1442359245,1359,1359
1442360204,1356,1356
1442360905,1354,1354
1442361738,1354,1354
1442362798,1355,1355
1442363939,1357,1357
1442364871,1359,1359
1442365798,1354,1354
1442366836,1353,1353
1442368040,1352,1352
1442368821,1355,1355
1442369949,1358,1358
1442370986,1356,1356
