DateTime,Entries,UniqueIPs
1442007372,37232,93713
1442008450,37235,93716
1442009347,37164,93645
1442010462,37207,93688
1442010854,37205,93686
1442011506,37250,93731
1442011949,37251,93732
1442012620,37250,93731
1442014033,37249,93730
1442015658,37163,93644
1442016219,37158,93639
1442016219,37100,93577
1442017650,37101,93578
1442019609,37174,93652
1442021246,37175,93653
1442021769,37224,93702
1442022850,37283,93763
1442022850,37277,93757
1442023754,37127,93607
1442023754,37089,93568
1442024841,37097,93576
1442024841,37094,93573
1442026592,37194,93673
1442029123,37252,93734
1442029402,37251,93733
1442030993,37065,93544
1442032381,37067,93546
1442034157,37173,93662
1442034215,37173,93662
1442036794,37248,93737
1442039288,37128,93617
1442040119,37148,93638
1442041830,37198,93689
1442044630,37182,93673
1442046438,37141,93630
1442048048,37142,93631
1442048406,37199,93688
1442048610,37197,93686
1442050036,37198,93687
1442050570,37206,93698
1442050570,37226,93718
1442051649,37229,93721
1442052210,37231,93723
1442053628,37232,93724
1442053628,37233,93725
1442054708,37186,93674
1442055250,37187,93675
1442057229,37202,93691
1442057229,37203,93692
1442058860,37219,93708
1442059473,37217,93706
1442060845,37214,93703
1442062278,37216,93705
1442062809,37175,93667
1442063513,37185,93677
1442064967,37245,93744
1442066053,37246,93745
1442066606,37243,93742
1442066606,37240,93738
1442069108,37254,93749
1442069648,37288,93784
1442070206,37283,93781
1442071632,37285,93783
1442072101,37290,93789
1442073258,37236,93734
1442073258,37250,93748
1442073829,37247,93745
1442075581,37248,93746
1442077215,37295,93793
1442077343,37262,93760
1442078835,37263,93761
1442079369,37268,93765
1442080466,37265,93764
1442082433,37293,93792
1442082781,37294,93793
1442083508,37231,93730
1442084048,37232,93731
1442084600,37223,93722
1442086035,37238,93737
1442086381,37238,93737
1442086381,37206,93703
1442087657,37279,93776
1442088205,37276,93773
1442088205,37299,93796
1442089665,37302,93799
1442090095,37305,93802
1442091263,37311,93808
1442091612,37233,93730
1442093240,37234,93731
1442093767,37297,93794
1442094850,37306,93803
1442095460,37276,93773
1442096842,37289,93786
1442097181,37289,93786
1442097908,37267,93767
1442098447,37272,93772
1442099888,37196,93696
1442100434,37198,93698
1442100434,37199,93699
1442102056,37282,93783
1442102603,37280,93781
1442102603,37298,93800
1442104039,37301,93803
1442104039,37296,93798
1442106012,37267,93768
1442107647,37269,93770
1442108168,37329,93830
1442109248,37334,93835
1442109248,37343,93844
1442110146,37162,93663
1442111231,37172,93673
1442111581,37171,93672
1442112307,37254,93755
1442113336,37252,93753
1442114828,37254,93755
1442115231,37256,93757
1442116446,37327,93828
1442116446,37351,93853
1442116446,37348,93850
1442118437,37164,93666
1442118781,37163,93665
1442120049,37165,93667
1442120409,37240,93742
1442120592,37238,93740
1442122035,37240,93742
1442122570,37228,93730
1442123036,37230,93732
1442123649,37163,93665
1442125637,37164,93666
1442126035,37214,93729
1442126707,37257,93772
1442128687,37167,93682
1442129233,37178,93693
1442129233,37180,93695
1442130860,37189,93700
1442131394,37182,93693
1442131394,37206,93717
1442131394,37202,93713
1442134448,37203,93714
1442134809,37178,93689
1442134990,37174,93685
1442136440,37177,93688
1442136968,37238,93748
1442138589,37245,93755
1442140422,37252,93762
1442141106,37292,93802
1442141648,37293,93803
1442142217,37289,93799
1442143088,37208,93717
1442143088,37207,93716
1442144889,37288,93797
1442145789,37283,93792
1442147244,37285,93794
1442147581,37301,93811
1442149345,37317,93827
1442149408,37314,93824
1442151821,37262,93773
1442152456,37205,93715
1442152987,37203,93713
1442153969,37217,93727
1442154782,37227,93737
1442156055,37229,93739
1442156411,37271,93782
1442158051,37272,93783
1442158593,37323,93834
1442159655,37326,93837
1442160007,37233,93743
1442160184,37229,93736
1442161634,37230,93737
1442161634,37231,93738
1442162709,37298,93805
1442163249,37309,93816
1442163782,37307,93814
1442165235,37331,93838
1442165581,37329,93836
1442166304,37278,93786
1442166891,37355,93863
1442168835,37359,93867
1442168835,37386,93894
1442170457,37407,93915
1442170808,37446,93954
1442170981,37443,93951
1442172506,37452,93960
1442172971,37393,93901
1442174049,37390,93898
1442174158,37391,93899
1442176032,37393,93911
1442176381,37395,93913
1442177108,37330,93847
1442177676,37335,93852
1442178182,37331,93848
1442179629,37336,93853
1442179981,37333,93850
1442181275,37409,93932
1442181784,37410,93933
1442183245,37414,93940
1442183245,37418,93945
1442184283,37417,93944
1442184874,37422,93949
1442185212,37294,93821
1442185378,37292,93819
1442186832,37294,93822
1442187366,37383,93911
1442188449,37343,93870
1442189345,37474,94001
1442190436,37473,94006
1442190782,37475,94008
1442191509,37310,93843
1442192051,37311,93844
1442192637,37309,93842
1442194471,37309,93842
1442195661,37240,93773
1442195661,37247,93780
1442196249,37246,93779
1442197638,37247,93780
1442199248,37243,93782
1442199608,37314,93853
1442199774,37313,93852
1442201226,37314,93853
1442201767,37378,93917
1442202882,37330,93868
1442203747,37151,93689
1442204849,37147,93685
1442205181,37175,93713
1442205907,37252,93790
1442206972,37250,93788
1442208434,37255,93793
1442210055,37250,93788
1442210632,37247,93785
1442212036,37189,93727
1442212382,37275,93818
1442213684,37273,93816
1442214008,37340,93883
1442215631,37341,93884
1442216169,37352,93895
1442217247,37326,93869
1442217792,37323,93866
1442219231,37324,93867
1442219231,37325,93868
1442220866,37345,93890
1442221371,37340,93885
1442222836,37289,93833
1442223182,37303,93847
1442224813,37364,93908
1442225030,37362,93906
1442225030,37337,93881
1442226428,37338,93882
1442226965,37387,93931
1442227476,37386,93930
1442228946,37298,93842
1442230382,37303,93847
1442231107,37369,93914
1442231649,37379,93924
1442232167,37378,93923
1442233099,37324,93868
1442233636,37325,93869
1442235258,37398,93942
1442235767,37368,93912
1442237241,37369,93913
1442237662,37371,93916
1442238848,37372,93917
1442239213,37430,93976
1442239213,37459,94006
1442240831,37463,94010
1442241365,37434,93980
1442241458,37427,93973
1442243346,37323,93869
1442243346,37301,93847
1442244781,37302,93848
1442245507,37396,93942
1442246050,37472,94020
1442247487,37410,93958
1442248029,37431,93980
1442248381,37433,93982
1442249661,37507,94056
1442250225,37506,94055
1442251981,37505,94054
1442251981,37473,94020
1442253254,37477,94024
1442253616,37504,94049
1442254312,37518,94063
1442255766,37565,94110
1442257746,37459,94004
1442258831,37461,94006
1442258831,37458,94003
1442259907,37589,94135
1442260447,37590,94136
1442260960,37549,94092
1442262431,37553,94096
1442264085,37562,94105
1442264085,37572,94115
1442264561,37571,94114
1442266381,37571,94114
1442267662,37570,94117
1442268017,37466,94013
1442268218,37459,94006
1442269634,37461,94008
1442270169,37527,94074
1442270512,37536,94083
1442272146,37448,93995
1442273236,37449,93996
1442273236,37450,93997
1442274307,37542,94089
1442274848,37543,94090
1442274963,37514,94061
1442278463,37572,94119
1442278953,37570,94117
1442280429,37416,93963
1442280781,37416,93963
1442282052,37487,94035
1442282412,37556,94104
1442282554,37556,94104
1442284042,37560,94108
1442284570,37627,94176
1442284905,37639,94188
1442284905,37644,94193
1442286546,37463,94011
1442286546,37466,94014
1442288706,37549,94097
1442290687,37628,94176
1442291770,37633,94181
1442292856,37481,94030
1442293411,37487,94036
1442293411,37504,94054
1442295550,37506,94057
1442296447,37507,94059
1442296812,37578,94130
1442298972,37584,94135
1442298972,37545,94096
1442300049,37546,94097
1442300049,37559,94113
1442302028,37561,94115
1442303107,37619,94174
1442303107,37620,94175
1442303107,37617,94172
1442304212,37613,94168
1442305088,37524,94079
1442305629,37527,94082
1442306165,37528,94083
1442307258,37591,94146
1442307807,37567,94121
1442309243,37524,94077
1442309243,37530,94086
1442311213,37584,94141
1442311346,37583,94140
1442313371,37555,94112
1442314448,37533,94089
1442315061,37529,94085
1442317506,37584,94141
1442318046,37643,94205
1442318543,37644,94206
1442320028,37645,94207
1442320382,37643,94205
1442320382,37657,94220
1442321656,37697,94259
1442322144,37695,94257
1442322144,37669,94231
1442323641,37620,94182
1442323981,37619,94181
1442325016,37622,94184
